Tk,Fold,Model,Feature,Importance
IMOEX,0,RF,Open,0.006210759428956172
IMOEX,0,RF,High,0.006392314848444477
IMOEX,0,RF,Low,0.00353855205045972
IMOEX,0,RF,Close,0.004504805163022117
IMOEX,0,RF,Value,0.013612830235625564
IMOEX,0,RF,Volume,0.0
IMOEX,0,RF,SMA_5,0.00660777054846615
IMOEX,0,RF,SMA_10,0.008553566566429685
IMOEX,0,RF,SMA_20,0.005545320868887084
IMOEX,0,RF,EMA_5,0.003530484660782125
IMOEX,0,RF,EMA_10,0.009436211616795597
IMOEX,0,RF,EMA_20,0.003961998090403537
IMOEX,0,RF,BBH,0.007024105664100406
IMOEX,0,RF,BBL,0.007719964287632588
IMOEX,0,RF,RSI_50,0.012165871137012793
IMOEX,0,RF,StochK,0.0030577669072299877
IMOEX,0,RF,StochD,0.011948549414258776
IMOEX,0,RF,ATR_50,0.00965958078556664
IMOEX,0,RF,OBV,0.0
IMOEX,0,RF,MACD,0.019921421258191994
IMOEX,0,RF,MACD_SIGNAL,0.015075901096567278
IMOEX,0,RF,MACD_DIFF,0.022213657832260248
IMOEX,0,RF,ADX_14,0.0198002669929134
IMOEX,0,RF,CCI_20,0.008770599490764724
IMOEX,0,RF,ROC_10,0.011662392564704643
IMOEX,0,RF,WILLR_14,0.004476353540699948
IMOEX,0,RF,lag1,0.00561794443173296
IMOEX,0,RF,lag2,0.004830022388511094
IMOEX,0,RF,lag3,0.0056857966593107205
IMOEX,0,RF,lag4,0.002211229812652672
IMOEX,0,RF,lag5,0.0036973103559643813
IMOEX,0,RF,lag6,0.006760970002870823
IMOEX,0,RF,lag7,0.0032156106343307175
IMOEX,0,RF,lag8,0.002585178081785016
IMOEX,0,RF,lag9,0.003957247853644438
IMOEX,0,RF,lag10,0.0048318123904952
IMOEX,0,RF,lag11,0.009119502741522569
IMOEX,0,RF,lag12,0.0018872736613987362
IMOEX,0,RF,lag13,0.002962446219583232
IMOEX,0,RF,lag14,0.0058504495338586975
IMOEX,0,RF,lag15,0.0014142334568720291
IMOEX,0,RF,lag16,0.003018785799965687
IMOEX,0,RF,lag17,0.003131990217349616
IMOEX,0,RF,lag18,0.008235134612358353
IMOEX,0,RF,lag19,0.01680142831898124
IMOEX,0,RF,lag20,0.0033616405851354097
IMOEX,0,RF,lag21,0.00945294612294168
IMOEX,0,RF,lag22,0.003770506296592289
IMOEX,0,RF,lag23,0.018592475554638874
IMOEX,0,RF,lag24,0.01833754835140519
IMOEX,0,RF,lag25,0.009507613009820913
IMOEX,0,RF,lag26,0.021611573225547062
IMOEX,0,RF,lag27,0.043473715230465476
IMOEX,0,RF,lag28,0.023359244689220907
IMOEX,0,RF,lag29,0.005115466004080176
IMOEX,0,RF,lag30,0.005377288317675286
IMOEX,0,RF,lag31,0.002909285890394655
IMOEX,0,RF,lag32,0.0018121750444517843
IMOEX,0,RF,lag33,0.0031658431731926844
IMOEX,0,RF,lag34,0.003141078769167728
IMOEX,0,RF,lag35,0.00520347908893677
IMOEX,0,RF,lag36,0.004538954227051351
IMOEX,0,RF,lag37,0.003725917067924293
